,dorsal1,dorsal2,anterior1,anterior2
0,90.0,90.0,0.0,0.0
1,89.97702943395159,89.97702943395159,0.0459411247108552,-0.0459411247108552
2,89.93085804937104,89.93085804937104,0.1378225371087582,-0.1378225371087582
3,89.86108181009796,89.86108181009796,0.27529822851618374,-0.27529822851618374
4,89.76712230420429,89.76712230420429,0.45769060163276043,-0.45769060163276043
5,89.64822671630351,89.64822671630351,0.6840196854506441,-0.6840196854506441
6,89.50346863482827,89.50346863482827,0.9530467938628251,-0.9530467938628251
7,89.33175004133284,89.33175004133284,1.2633305107126256,-1.2633305107126256
8,89.13180490161034,89.13180490161034,1.6132920091402205,-1.6132920091402205
9,88.90220484229049,88.90220484229049,2.0012859556239473,-2.0012859556239473
10,88.64136744418245,88.64136744418245,2.4256726730034166,-2.4256726730034166
11,88.34756770508662,88.34756770508662,2.884886900397255,-2.884886900397255
12,88.01895320810979,88.01895320810979,3.377498437901453,-3.377498437901453
13,87.65356346339286,87.65356346339286,3.902260229707571,-3.902260229707571
14,87.24935375868097,87.24935375868097,4.458140029483089,-4.458140029483089
15,86.80422364724521,86.80422364724521,5.044332692794041,-5.044332692794041
16,86.31604991626358,86.31604991626358,5.660251317274309,-5.660251317274309
17,85.78272352047095,85.78272352047095,6.305496845982224,-6.305496845982224
18,85.20218955316693,85.20218955316693,6.979807288156273,-6.979807288156273
19,84.57248889284504,84.57248889284504,7.6829893025409906,-7.6829893025409906
20,83.89179975645665,83.89179975645665,8.41483642374775,-8.41483642374775
21,83.15847706780528,83.15847706780528,9.17503956919001,-9.17503956919001
22,82.37108737276944,82.37108737276944,9.96309650903682,-9.96309650903682
23,81.52843705501068,81.52843705501068,10.778227576178521,-10.778227576178521
24,80.62959185953841,80.62959185953841,11.619304908042702,-11.619304908042702
25,79.67388621936166,79.67388621936166,12.484801846170956,-12.484801846170956
26,78.66092156830155,78.66092156830155,13.372767724585275,-13.372767724585275
27,77.59055364129891,77.59055364129891,14.28083118423752,-14.28083118423752
28,76.46286961628778,76.46286961628778,15.206232486218745,-15.206232486218745
29,75.278156732114,75.278156732114,16.145882292221373,-16.145882292221373
30,74.036864626115,74.036864626115,17.09644135592607,-17.09644135592607
31,72.73956399929585,72.73956399929585,18.054412890173698,-18.054412890173698
32,71.38690430075637,71.38690430075637,19.01623739612515,-19.01623739612515
33,69.97957293270336,69.97957293270336,19.978378735105924,-19.978378735105924
34,68.51825805823441,68.51825805823441,20.937390323411037,-20.937390323411037
35,67.00361651955686,67.00361651955686,21.88995149259634,-21.88995149259634
36,65.43624773182238,65.43624773182238,22.83286607096608,-22.83286607096608
37,63.81667379397868,63.81667379397868,23.76301776913423,-23.76301776913423
38,62.14532552665677,62.14532552665677,24.677279603441967,-24.677279603441967
39,60.4225337611121,60.4225337611121,25.572377001997737,-25.572377001997737
