,x,y,z
0,-1.0,-1.0,1.0
1,-0.9703278786971896,-0.9670309763302106,0.9769216834311475
2,-0.9408071456668294,-0.9341383189154505,0.9535422178781151
3,-0.9114738807957125,-0.9013426046120557,0.9297935190646853
4,-0.882372187983513,-0.868668400975333,0.9055966619925291
5,-0.8535567157100161,-0.8361454793436841,0.8808594809446216
6,-0.8250961717635236,-0.8038104968695287,0.8554735331256841
7,-0.7970783027146815,-0.7717093648827006,0.8293102699667013
8,-0.7696170634866163,-0.7399006341540639,0.8022162671341175
9,-0.7428631032905639,-0.7084603991860097,0.7740074522178262
10,-0.7170193138432572,-0.6774894706355977,0.7444625688752141
11,-0.6923640926920297,-0.6471238724396615,0.7133169348924707
12,-0.6692861145678348,-0.6175499300749168,0.6802595777884018
13,-0.648335177533751,-0.5890246722143264,0.6449414818405639
14,-0.6302917300755749,-0.5618988289526177,0.6070123026882905
15,-0.6162463082611324,-0.5366276937810252,0.5662189716991021
16,-0.6076475068655206,-0.5137243414598672,0.522612813108695
17,-0.6062271467072687,-0.49356077077209043,0.47688084404831144
18,-0.613737827082197,-0.4759235615008352,0.43070164386654547
19,-0.6317268521235434,-0.45940498315633166,0.38707216360906
20,-0.6618466390924724,-0.4408980564498382,0.35171269391808735
