,dorsal1,dorsal2,anterior1,anterior2
0,89.99053976658948,89.99053976658948,0.018920466302760546,-0.018920466302760546
1,89.97146793352005,89.97146793352005,0.05681738969207713,-0.05681738969207713
2,89.94251624338956,89.94251624338956,0.11360626471304512,-0.11360626471304512
3,89.90329472899744,89.90329472899744,0.18907177609636716,-0.18907177609636716
4,89.85328515141282,89.85328515141282,0.2828879710443107,-0.2828879710443107
5,89.79183267508478,89.79183267508478,0.3946485550314478,-0.3946485550314478
6,89.71813578229477,89.71813578229477,0.5239064634377243,-0.5239064634377243
7,89.63123446730827,89.63123446730827,0.6702213957229602,-0.6702213957229602
8,89.52999681047008,89.52999681047008,0.8332135801696288,-0.8332135801696288
9,89.41310412088495,89.41310412088495,1.012621688223478,-1.012621688223478
10,89.27903496062972,89.27903496062972,1.2083625526481014,-1.2083625526481014
11,89.12604853121827,89.12604853121827,1.4205901680831259,-1.4205901680831259
12,88.95216812093986,88.95216812093986,1.6497513588476351,-1.6497513588476351
13,88.75516558362797,88.75516558362797,1.8966354685400675,-1.8966354685400675
14,88.53254814380038,88.53254814380038,2.1624154311997925,-2.1624154311997925
15,88.28154918896466,88.28154918896466,2.4486775923842568,-2.4486775923842568
16,87.9991250919817,87.9991250919817,2.757437631395762,-2.757437631395762
17,87.68196045992462,87.68196045992462,3.091139877578612,-3.091139877578612
18,87.32648446196922,87.32648446196922,3.452637224272236,-3.452637224272236
19,86.92890095307067,86.92890095307067,3.8451487723356026,-3.8451487723356026
20,86.48523486738853,86.48523486738853,4.27219237875288,-4.27219237875288
21,85.99139668469148,85.99139668469148,4.737489594922412,-4.737489594922412
22,85.44326557548463,85.44326557548463,5.244841247963348,-5.244841247963348
23,84.83679007025232,84.83679007025232,5.797973356937889,-5.797973356937889
24,84.16810284868332,84.16810284868332,6.400355359527508,-6.400355359527508
25,83.43364372868817,83.43364372868817,7.054995819970861,-7.054995819970861
26,82.63028253419002,82.63028253419002,7.764224768371373,-7.764224768371373
27,81.75543173570819,81.75543173570819,8.529476188630262,-8.529476188630262
28,80.80713810776724,80.80713810776724,9.351088232375012,-9.351088232375012
29,79.78414352337879,79.78414352337879,10.228141545767187,-10.228141545767187
30,78.68590752202714,78.68590752202714,11.158356615819233,-11.158356615819233
31,77.5125881872713,77.5125881872713,12.138068388346149,-12.138068388346149
32,76.26498254123848,76.26498254123848,13.162290151953606,-13.162290151953606
33,74.94443227268505,74.94443227268505,14.224869113737155,-14.224869113737155
34,73.55270432302642,73.55270432302642,15.318724350892854,-15.318724350892854
35,72.09185803293421,72.09185803293421,16.436145787468885,-16.436145787468885
36,70.5641109310322,70.5641109310322,17.56912277377917,-17.56912277377917
37,68.97171394515885,68.97171394515885,18.709664816694975,-18.709664816694975
38,67.31684426567683,67.31684426567683,19.850076338669673,-19.850076338669673
39,65.60152088610738,65.60152088610738,20.98315217890348,-20.98315217890348
40,63.82754459698861,63.82754459698861,22.102269805092945,-22.102269805092945
