,x,y,z
0,-1.0,1.0,1.0
1,-0.9990379463759544,0.9995,1.0006741072480911
2,-0.9980757692958413,0.9990002857376523,1.0013469529084535
3,-0.9971134692664481,0.9985008554970366,1.002018538143973
4,-0.9961510467985977,0.9980017075648304,1.0026888641145721
5,-0.9951885024071289,0.9975028402303184,1.0033579319772377
6,-0.9942258366108759,0.9970042517854019,1.0040257428860475
7,-0.9932630499326489,0.9965059405246081,1.0046922979921984
8,-0.9923001428992135,0.9960079047450994,1.0053575984440326
9,-0.9913371160412711,0.9955101427466828,1.006021645387065
10,-0.9903739698934381,0.9950126528318188,1.0066844399640096
11,-0.9894107049942265,0.9945154333056305,1.0073459833148068
12,-0.9884473218860232,0.9940184824759128,1.0080062765766498
13,-0.9874838211150705,0.9935217986531415,1.0086653208840106
14,-0.9865202032314448,0.9930253801504815,1.0093231173686672
15,-0.9855564687890374,0.9925292252837965,1.009979667159729
16,-0.9845926183455334,0.9920333323716574,1.0106349713836633
17,-0.9836286524623921,0.9915376997353509,1.011289031164322
18,-0.9826645717048261,0.9910423256988884,1.0119418476229658
19,-0.9817003766417817,0.9905472085890145,1.0125934218782922
20,-0.9807360678459175,0.9900523467352154,1.0132437550464592
21,-0.9797716458935848,0.9895577384697275,1.0138928482411123
22,-0.978807111364807,0.9890633821275459,1.0145407025734086
23,-0.9778424648432592,0.9885692760464323,1.0151873191520433
24,-0.9768777069162474,0.9880754185669239,1.0158326990832744
25,-0.9759128381746887,0.9875818080323413,1.0164768434709477
26,-0.97494785921309,0.9870884427887963,1.017119753416522
27,-0.9739827706295283,0.9865953211852003,1.0177614300190936
28,-0.9730175730256295,0.9861024415732726,1.0184018743754217
29,-0.9720522670065485,0.9856098023075479,1.0190410875799523
30,-0.9710868531809478,0.9851174017453843,1.0196790707248427
31,-0.9701213321609778,0.984625238246971,1.0203158248999864
32,-0.969155704562256,0.9841333101753363,1.0209513511930373
33,-0.9681899710038457,0.9836416158963552,1.0215856506894332
34,-0.9672241321082364,0.9831501537787568,1.0222187244724206
35,-0.9662581885013225,0.9826589221941321,1.022850573623078
36,-0.9652921408123829,0.9821679195169413,1.02348119922034
37,-0.9643259896740602,0.9816771441245212,1.024110602341021
38,-0.9633597357223403,0.9811865943970929,1.024738784059838
39,-0.9623933795965316,0.9806962687177685,1.0253657454494354
