,12,13,14,23,24,34
0,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0,1.0
1,1.000000000149887,1.0000000001873586,1.414207440969439,1.414219683803248,1.0000000001873586,1.000000000149887
2,1.0000000007275307,1.000000001514071,1.4141951827720405,1.4142319411332303,1.000000001514071,1.0000000007275307
3,1.0000000019484079,1.0000000057294611,1.4141767870314472,1.4142503327113398,1.0000000057294611,1.0000000019484079
4,1.0000000039362236,1.000000015293951,1.4141522522540526,1.4142748561416643,1.000000015293951,1.0000000039362236
5,1.0000000066968036,1.0000000332988894,1.4141215762011259,1.4143055082830156,1.0000000332988894,1.0000000066968036
6,1.000000010095019,1.0000000633920776,1.4140847558903962,1.4143422852503953,1.0000000633920776,1.000000010095019
7,1.0000000138345284,1.0000001097086628,1.4140417875999582,1.4143851824187545,1.0000001097086628,1.0000000138345284
8,1.0000000174401336,1.0000001768070812,1.4139926668742826,1.4144341944288366,1.0000001768070812,1.0000000174401336
9,1.0000000202425545,1.0000002696097479,1.4139373885321276,1.4144893151949003,1.0000002696097479,1.0000000202425545
10,1.0000000213654412,1.0000003933482098,1.41387594667616,1.414550537914135,1.0000003933482098,1.0000000213654412
11,1.0000000197144576,1.000000553512496,1.4138083347041084,1.414617855077595,1.000000553512496,1.0000000197144576
12,1.0000000139682694,1.0000007558044017,1.413734545321284,1.4146912584824856,1.0000007558044017,1.0000000139682694
13,1.0000000025712927,1.0000010060944748,1.4136545705543129,1.4147707392456546,1.0000010060944748,1.0000000025712927
14,0.9999999837280596,1.0000013103824692,1.4135684017659362,1.4148562878181425,1.0000013103824692,0.9999999837280596
15,0.9999999553990668,1.0000016747610525,1.4134760296707463,1.4149478940006666,1.0000016747610525,0.9999999553990668
16,0.9999999152979877,1.000002105382564,1.4133774443517295,1.4150455469599097,1.000002105382564,0.9999999152979877
17,0.9999998608901263,1.0000026084286289,1.4132726352775062,1.4151492352455077,1.0000026084286289,0.9999998608901263
18,0.9999997893920098,1.0000031900824473,1.4131615913201567,1.4152589468076273,1.0000031900824473,0.9999997893920098
19,0.9999996977720138,1.0000038565035867,1.4130443007735338,1.4153746690150373,1.0000038565035867,0.9999996977720138
20,0.9999995827519255,1.0000046138051133,1.4129207513719726,1.415496388673587,1.0000046138051133,0.9999995827519255
21,0.9999994408093587,1.0000054680329105,1.4127909303093114,1.4156240920450052,1.0000054680329105,0.9999994408093587
22,0.9999992681809344,1.0000064251470406,1.4126548242581425,1.415757764865948,1.0000064251470406,0.9999992681809344
23,0.9999990608661503,1.0000074910050105,1.412512419389228,1.4158973923672225,1.0000074910050105,0.9999990608661503
24,0.9999988146318685,1.0000086713468137,1.4123637013910042,1.416042959293122,1.0000086713468137,0.9999988146318685
25,0.9999985250173499,1.0000099717816282,1.4122086554891236,1.4161944499208192,1.0000099717816282,0.9999985250173499
26,0.9999981873397777,1.0000113977760552,1.4120472664659718,1.416351848079753,1.0000113977760552,0.9999981873397777
27,0.9999977967002087,1.00001295464379,1.4118795186801116,1.4165151371709728,1.00001295464379,0.9999977967002087
28,0.9999973479898961,1.0000146475366225,1.411705396085606,1.4166843001863845,1.0000146475366225,0.9999973479898961
29,0.9999968358969393,1.0000164814366779,1.4115248822511806,1.416859319727865,1.0000164814366779,0.9999968358969393
30,0.9999962549132081,1.0000184611497964,1.4113379603791818,1.4170401780262036,1.0000184611497964,0.9999962549132081
31,0.9999955993415014,1.0000205912999796,1.4111446133243033,1.417226856959839,1.0000205912999796,0.9999955993415014
32,0.9999948633028988,1.0000228763248131,1.410944823612043,1.417419338073364,1.0000228763248131,0.9999948633028988
33,0.99999404074427,1.0000253204717986,1.4107385734568663,1.4176176025957656,1.0000253204717986,0.99999404074427
34,0.9999931254459051,1.0000279277955213,1.4105258447800488,1.4178216314583854,1.0000279277955213,0.9999931254459051
35,0.9999921110292367,1.0000307021555856,1.4103066192271787,1.4180314053125669,1.0000307021555856,0.9999921110292367
36,0.9999909909646243,1.0000336472152598,1.4100808781852952,1.4182469045469848,1.0000336472152598,0.9999909909646243
37,0.9999897585791744,1.00003676644077,1.4098486027996504,1.41846810930463,1.00003676644077,0.9999897585791744
38,0.9999884070645705,1.0000400631011896,1.409609773990077,1.4186949994994393,1.0000400631011896,0.9999884070645705
39,0.9999869294848939,1.0000435402688708,1.4093643724669493,1.4189275548325582,1.0000435402688708,0.9999869294848939
40,0.9999853187844128,1.0000472008203745,1.4091123787467275,1.4191657548082282,1.0000472008203745,0.9999853187844128
41,0.9999835677953208,1.0000510474378486,1.4088537731670758,1.4194095787492846,1.0000510474378486,0.9999835677953208
42,0.9999816692454101,1.0000550826108179,1.4085885359015482,1.4196590058122651,1.0000550826108179,0.9999816692454101
43,0.9999796157656636,1.000059308638341,1.4083166469738335,1.419914015002118,1.000059308638341,0.9999796157656636
44,0.9999773998977498,1.0000637276315023,1.4080380862715587,1.420174585186507,1.0000637276315023,0.9999773998977498
45,0.9999750141014127,1.000068341516202,1.407752833559645,1.4204406951097157,1.000068341516202,0.9999750141014127
46,0.9999724507617419,1.000073152036212,1.4074608684932173,1.420712323406139,1.000073152036212,0.9999724507617419
47,0.9999697021963156,1.0000781607564713,1.4071621706300625,1.4209894486133714,1.0000781607564713,0.9999697021963156
48,0.9999667606622059,1.000083369066586,1.4068567194426436,1.4212720491848885,1.000083369066586,0.9999667606622059
49,0.9999636183628413,1.000088778184518,1.4065444943296626,1.4215601035023193,1.000088778184518,0.9999636183628413
50,0.9999602674547168,1.0000943891604286,1.406225474627183,1.421853589887319,1.0000943891604286,0.9999602674547168
